fold,test_subject,model,n_train,n_test,acc,precision,recall,f1,auc,confusion_matrix
1,001,LDA,3768,200,0.955,0.0,0.0,0.0,0.5203552923760177,"[[191, 2], [7, 0]]"
1,001,Logistic,3768,200,0.705,0.018518518518518517,0.14285714285714285,0.03278688524590164,0.4071058475203553,"[[140, 53], [6, 1]]"
1,001,SVM,3768,200,0.955,0.0,0.0,0.0,0.44929681717246484,"[[191, 2], [7, 0]]"
1,001,XGBoost,3768,200,0.955,0.0,0.0,0.0,0.7046632124352331,"[[191, 2], [7, 0]]"
2,002,LDA,3768,200,0.97,0.0,0.0,0.0,0.40512820512820513,"[[194, 1], [5, 0]]"
2,002,Logistic,3768,200,0.705,0.017857142857142856,0.2,0.03278688524590164,0.35897435897435903,"[[140, 55], [4, 1]]"
2,002,SVM,3768,200,0.96,0.0,0.0,0.0,0.3456410256410256,"[[192, 3], [5, 0]]"
2,002,XGBoost,3768,200,0.965,0.0,0.0,0.0,0.4420512820512821,"[[193, 2], [5, 0]]"
3,003,LDA,3768,200,0.945,0.0,0.0,0.0,0.6136842105263158,"[[189, 1], [10, 0]]"
3,003,Logistic,3768,200,0.72,0.057692307692307696,0.3,0.0967741935483871,0.5694736842105265,"[[141, 49], [7, 3]]"
3,003,SVM,3768,200,0.95,0.0,0.0,0.0,0.5105263157894737,"[[190, 0], [10, 0]]"
3,003,XGBoost,3768,200,0.945,0.0,0.0,0.0,0.45052631578947366,"[[189, 1], [10, 0]]"
4,004,LDA,3768,200,0.96,0.0,0.0,0.0,0.45442708333333337,"[[192, 0], [8, 0]]"
4,004,Logistic,3768,200,0.89,0.0,0.0,0.0,0.3821614583333333,"[[178, 14], [8, 0]]"
4,004,SVM,3768,200,0.955,0.0,0.0,0.0,0.45703125,"[[191, 1], [8, 0]]"
4,004,XGBoost,3768,200,0.96,0.0,0.0,0.0,0.44856770833333337,"[[192, 0], [8, 0]]"
5,005,LDA,3768,200,0.96,0.0,0.0,0.0,0.5104166666666666,"[[192, 0], [8, 0]]"
5,005,Logistic,3768,200,0.715,0.0196078431372549,0.125,0.03389830508474576,0.43164062500000006,"[[142, 50], [7, 1]]"
5,005,SVM,3768,200,0.96,0.0,0.0,0.0,0.673828125,"[[192, 0], [8, 0]]"
5,005,XGBoost,3768,200,0.95,0.0,0.0,0.0,0.6731770833333334,"[[190, 2], [8, 0]]"
